round	position	algorithm	operation	count	mean_ns	log
1	pre	ED25519	keygen	1000	25475.7	logs/001-ED25519-keygen.log
1	pre	ED25519	sign	2000	24126.0	logs/002-ED25519-sign.log
1	pre	ED25519	verify	1000	79323.2	logs/003-ED25519-verify.log
1	pre	ED448	keygen	1000	147592.7	logs/004-ED448-keygen.log
1	pre	ED448	sign	2000	147959.7	logs/005-ED448-sign.log
1	pre	ED448	verify	1000	157708.6	logs/006-ED448-verify.log
1	target	Ed301	expand	5000	31017.579	logs/007-ed301-expand.log
1	target	Ed301	sign	10000	29167.054	logs/008-ed301-sign.log
1	target	Ed301	verify	3000	85721.166	logs/009-ed301-verify.log
1	target	Ed301	import	3000	96763.641	logs/010-ed301-import.log
2	pre	ED448	keygen	1000	147532.9	logs/011-ED448-keygen.log
2	pre	ED448	sign	2000	146740.3	logs/012-ED448-sign.log
2	pre	ED448	verify	1000	157261.2	logs/013-ED448-verify.log
2	pre	ED25519	keygen	1000	25237.2	logs/014-ED25519-keygen.log
2	pre	ED25519	sign	2000	23923.5	logs/015-ED25519-sign.log
2	pre	ED25519	verify	1000	79362.4	logs/016-ED25519-verify.log
2	target	Ed301	expand	5000	27800.166	logs/017-ed301-expand.log
2	target	Ed301	sign	10000	29116.558	logs/018-ed301-sign.log
2	target	Ed301	verify	3000	87327.182	logs/019-ed301-verify.log
2	target	Ed301	import	3000	98192.036	logs/020-ed301-import.log
3	pre	ED25519	keygen	1000	25450.5	logs/021-ED25519-keygen.log
3	pre	ED25519	sign	2000	23969.8	logs/022-ED25519-sign.log
3	pre	ED25519	verify	1000	78534.3	logs/023-ED25519-verify.log
3	pre	ED448	keygen	1000	146967.6	logs/024-ED448-keygen.log
3	pre	ED448	sign	2000	147056.3	logs/025-ED448-sign.log
3	pre	ED448	verify	1000	155641.8	logs/026-ED448-verify.log
3	target	Ed301	expand	5000	27724.293	logs/027-ed301-expand.log
3	target	Ed301	sign	10000	28809.409	logs/028-ed301-sign.log
3	target	Ed301	verify	3000	87022.047	logs/029-ed301-verify.log
3	target	Ed301	import	3000	98249.800	logs/030-ed301-import.log
4	pre	ED448	keygen	1000	147226.9	logs/031-ED448-keygen.log
4	pre	ED448	sign	2000	147499.7	logs/032-ED448-sign.log
4	pre	ED448	verify	1000	158538.1	logs/033-ED448-verify.log
4	pre	ED25519	keygen	1000	25352.1	logs/034-ED25519-keygen.log
4	pre	ED25519	sign	2000	23916.3	logs/035-ED25519-sign.log
4	pre	ED25519	verify	1000	78809.0	logs/036-ED25519-verify.log
4	target	Ed301	expand	5000	28108.007	logs/037-ed301-expand.log
4	target	Ed301	sign	10000	29014.180	logs/038-ed301-sign.log
4	target	Ed301	verify	3000	86320.538	logs/039-ed301-verify.log
4	target	Ed301	import	3000	97888.529	logs/040-ed301-import.log
5	pre	ED25519	keygen	1000	25691.0	logs/041-ED25519-keygen.log
5	pre	ED25519	sign	2000	24082.7	logs/042-ED25519-sign.log
5	pre	ED25519	verify	1000	77993.3	logs/043-ED25519-verify.log
5	pre	ED448	keygen	1000	145973.8	logs/044-ED448-keygen.log
5	pre	ED448	sign	2000	146337.0	logs/045-ED448-sign.log
5	pre	ED448	verify	1000	158816.2	logs/046-ED448-verify.log
5	target	Ed301	expand	5000	27773.338	logs/047-ed301-expand.log
5	target	Ed301	sign	10000	28969.861	logs/048-ed301-sign.log
5	target	Ed301	verify	3000	86629.217	logs/049-ed301-verify.log
5	target	Ed301	import	3000	97625.649	logs/050-ed301-import.log
6	pre	ED448	keygen	1000	146199.1	logs/051-ED448-keygen.log
6	pre	ED448	sign	2000	146856.9	logs/052-ED448-sign.log
6	pre	ED448	verify	1000	157024.1	logs/053-ED448-verify.log
6	pre	ED25519	keygen	1000	25345.6	logs/054-ED25519-keygen.log
6	pre	ED25519	sign	2000	23977.3	logs/055-ED25519-sign.log
6	pre	ED25519	verify	1000	78236.2	logs/056-ED25519-verify.log
6	target	Ed301	expand	5000	27755.948	logs/057-ed301-expand.log
6	target	Ed301	sign	10000	28858.020	logs/058-ed301-sign.log
6	target	Ed301	verify	3000	86877.327	logs/059-ed301-verify.log
6	target	Ed301	import	3000	99641.022	logs/060-ed301-import.log
7	pre	ED25519	keygen	1000	25362.4	logs/061-ED25519-keygen.log
7	pre	ED25519	sign	2000	23967.5	logs/062-ED25519-sign.log
7	pre	ED25519	verify	1000	77590.4	logs/063-ED25519-verify.log
7	pre	ED448	keygen	1000	145843.9	logs/064-ED448-keygen.log
7	pre	ED448	sign	2000	146409.4	logs/065-ED448-sign.log
7	pre	ED448	verify	1000	156010.3	logs/066-ED448-verify.log
7	target	Ed301	expand	5000	27706.774	logs/067-ed301-expand.log
7	target	Ed301	sign	10000	35081.221	logs/068-ed301-sign.log
7	target	Ed301	verify	3000	86424.632	logs/069-ed301-verify.log
7	target	Ed301	import	3000	97609.492	logs/070-ed301-import.log
